Time Elapsed,Time in second
Time elapsed was 406ns or 0.000000406s,4.06E-07
Time elapsed was 1184ns or 0.000001184s,1.184E-06
Time elapsed was 614ns or 0.000000614s,6.14E-07
Time elapsed was 1222ns or 0.000001222s,1.222E-06
Time elapsed was 1230ns or 0.000001230s,1.23E-06
Time elapsed was 1185ns or 0.000001185s,1.185E-06
Time elapsed was 1320ns or 0.000001320s,1.32E-06
Time elapsed was 1079ns or 0.000001079s,1.079E-06
Time elapsed was 1049ns or 0.000001049s,1.049E-06
Time elapsed was 1135ns or 0.000001135s,1.135E-06
Mean Time,1.0424E-06
