Time elapsed ,Time in second
Time elapsed was 505989232774ns or 505.989232774s,505.989232774
Time elapsed was 506411232395ns or 506.411232395s,506.411232395
Time elapsed was 504741424442ns or 504.741424442s,504.741424442
Time elapsed was 506141137302ns or 506.141137302s,506.141137302
Time elapsed was 504151520529ns or 504.151520529s,504.151520529
Time elapsed was 504789217142ns or 504.789217142s,504.789217142
Time elapsed was 505629215226ns or 505.629215226s,505.629215226
Time elapsed was 504784990147ns or 504.784990147s,504.784990147
Time elapsed was 506722447751ns or 506.722447751s,506.722447751
Time elapsed was 507075614041ns or 507.075614041s,507.075614041
Mean Time,505.6436031749
